ms,split,text,Topic,Count,t1,t2,t3,t4
006,6,ا ن,498,12,,,,
022,6,ا ن,144,15,,,,
092,6,م ا,499,12,,,,
097,6,ف ي,512,12,,,,
099,6,ع ل ي,361,13,,,,
115,6,م ع ج م,27,37,,,,
147,7,ب ن,35,31,,,,
051,6,ا ل ن ظ ر,52,26,استامنتهم,وبيدي,الستماءة,التقليد
129,6,ع ن د ه,52,26,استامنتهم,وبيدي,الستماءة,التقليد
012,6,و ا ص د ا ر,19,50,ال,رقم,اب,ارقام
014,6,م ع ر ف ت ي,19,50,ال,رقم,اب,ارقام
017,6,ا ل ا ز ه ر,19,50,ال,رقم,اب,ارقام
026,6,ا ل ل ه,19,50,ال,رقم,اب,ارقام
038,6,ا ب ت ل ي,19,50,ال,رقم,اب,ارقام
049,6,ع ا ص ر ه ا,19,50,ال,رقم,اب,ارقام
053,6,ج ز ا ء,19,50,ال,رقم,اب,ارقام
056,4,اق ن ن خ وة تتن ا ه تا خ ه ين ح نل ه و الق د اخ ه ق ت م ش ه ه ه ت م تة حي تة م ت الةيعتي ن ت تت ق ةتقة ه ي ب ا ن ت ن عتاته ب ح ت اخن حخع اة ه تت ه ن تفن اقي,19,50,ال,رقم,اب,ارقام
069,6,ا ل ا ر ض,19,50,ال,رقم,اب,ارقام
070,6,و ا ن,19,50,ال,رقم,اب,ارقام
083,6,ا ل ق ا س م,19,50,ال,رقم,اب,ارقام
101,6,ت و ع ا ن,19,50,ال,رقم,اب,ارقام
110,6,ا ل ح ط ب,19,50,ال,رقم,اب,ارقام
111,6,و ا ع ت ي ر,19,50,ال,رقم,اب,ارقام
112,6,ب ل ق ط,19,50,ال,رقم,اب,ارقام
126,6,ل ل م ق ر ي ز ي,19,50,ال,رقم,اب,ارقام
132,6,و ا ر ب ع ة,19,50,ال,رقم,اب,ارقام
136,6,ب ز ع م ه م,19,50,ال,رقم,اب,ارقام
143,7,ا ل ع ر ا ق ي,19,50,ال,رقم,اب,ارقام
001,3,بياض عن هذا الوطن المفذي الذي اذا ذكر ذكر الامن والامان وذكر الخير والتماء مصر التي اشرقت شحسها علي العالم ولاتوجد مءسسة علمية او مركز علمي في العالم الا وفيه مصري يثبت للدتيا ان مصر بلد العلم والعلماء فا اسعدني اليوم وانا بصدد هذا العمل العلمي وهو الدراسة والتحقيق لعالم مصري,-1,5193,المقريزي,ابراهيم,بن,محمد
001,4,جليل هو الامام احمد بن علي المقريزيت ه وكتابه العظيم اغاءة الامة بكشف الفمة وقبل ان اتناول هذه الدراسة لابد من مداخلة تبين زعامة مصر للمدارس التاريخية في عصر هذا العالم الجليل بعد ان كانت بغداد هي القطب الاكير سياسيا وثقافيا فقد انتهي دورها لترثها القاهرة تي في خلافتها العباسية كما,-1,5193,المقريزي,ابراهيم,بن,محمد
002,6,م و ج ه ا,-1,5193,المقريزي,ابراهيم,بن,محمد
