,uri,phrase-count
21,0923AhmadQastallani.IrshadSari.Shamela0021715-ara1,27
121,0804IbnMulaqqin.Tawdih.Sham19Y0013252-ara1,20
16,0855BadrDinCayni.CumdatQari.Shamela0005756-ara1,19
13,0831ShamsDinBirmawi.Lamic.Sham19Y0018103-ara1,19
17,0893IbnIsmacilShihabDinKurani.KawtharJari.Sham19Y0016584-ara1,18
22,0926ZakariyyaAnsari.MinhatBari.Sham19Y0018106-ara1,18
11,0786ShamsDinKirmani.Kawakib.Sham19Y0013605-ara1,16
2,0256Bukhari.Sahih.JK000110-ara1,15
20,0911Suyuti.Tawshih.Sham19Y0018176-ara1,15
15,0845Maqrizi.ImtacAsmac.Masaha001864Vols-ara1,12
153,0241IbnHanbal.Musnad.Shamela0025794-ara1,10
119,0800IbnCadilHanbali.LubabFiCulumKitab.JK009266-ara1,9
157,0313IbnIshaqSarraj.Musnad.Shamela0026668-ara1,9
224,0458Bayhaqi.SunanKubra.Sham19Y0148486-ara1,8
174,0855BadrDinCayni.NukhabAfkar.Sham19Y0013667-ara1,8
197,0310Tabari.TahdhibAthar.JK008250Vols-ara1,8
67,0468IbnAhmadWahidiNaysaburi.TafsirBasit.Sham19Y0013231-ara1,8
61,0449IbnBattalQurtubi.SharhSahihBukhari.JK009324-ara1,8
5,0311IbnBajirBajiri.JamicMusnad.ShamAY0038638-ara1,7
98,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran.Shia002616Vols-ara1,7
140,0977KhatibShirbini.SirajMunir.ShamAY0034068-ara2,7
40,0360Tabarani.Tafsir.ShamAY0033108-ara1,6
104,0741KhazinBaghdadi.LubabTawil.Shamela0023628-ara1,6
89,0606IbnAthirMajdDin.MucjamJamic.Shamela0025800-ara1,6
172,0739CalaDinIbnBalban.Ihsan.Sham19Y0001734-ara1,6
187,0748Dhahabi.Muhadhdhab.Sham19Y0146127-ara1,5
41,0360Tabarani.TafsirKabir.Tafsir02091-ara1,5
200,0571IbnCasakir.TarikhDimashq.JK000916-ara1,5
123,0827BadrDinDamaminiMakhzumi.MasabihJamic.Sham19Y0016684-ara1,5
115,0774IbnKathir.TafsirQuran.Shamela0008473-ara1,5
113,0774IbnKathir.Bidaya.Shamela0004445-ara1,5
107,0745AbuHayyanGharnati.TafsirBahrMuhit.Shamela0023591-ara1,5
8,0544QadiCiyad.IkmalMuclim.Sham19Y0122406-ara1,5
78,0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,4
127,0850Acqam.Tafsir.Tafsir05047-ara1,4
3,0292AbuBakrBazzar.BahrZakhkhar.Shamela0012981-ara1,4
4,0310Tabari.JamicBayan.Shamela0007798-ara1,4
232,0656AbuCabbasAnsariQurtubi.IkhtisarSahihBukhari.Sham19Y0127656-ara1,4
159,0316IbnIshaqIsfaraini.Mustakhraj.ShamAY0032665-ara1,4
72,0510IbnMascudBaghawi.Tafsir.Shamela0000041-ara1,4
133,0911Suyuti.DurrManthur.Shamela0012884-ara1,4
158,0316IbnIshaqIsfaraini.Musnad.Sham19Y0018144-ara1,4
103,0730NizamDinNaysaburi.GharaibQuran.Rafed0001792Vols-ara1,4
65,0458Bayhaqi.DalailNubuwwa.JK006838-ara1,4
126,0844IbnHusaynIbnRaslanRamli.SharhSunanAbiDawud.Sham19Y0131521-ara1,4
111,0762IbnYusufZaylaci.TakhrijAhadith.Shia002218Vols-ara1,4
29,0261Muslim.Sahih.Shamela0001727-ara1,4
181,0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,4
183,0560WazirIbnHubayraShaybani.Ifsah.Sham19Y0013572-ara1,4
142,0988FathAllahKashani.ZubdatTafasir.Rafed0001713Vols-ara1,4
164,0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.JK000977-ara1,4
66,0460ShaykhTusi.Tibyan.Shia002341Vols-ara1,3
92,0623AbuQasimRafici.SharhMusnadShafici.Sham19Y0123510-ara1,3
88,0606FakhrDinRazi.MafatihGhayb.ShamAY0031578-ara1,3
114,0774IbnKathir.MucjizatNabi.Rafed0003489-ara1,3
124,0836FaqihYusuf.ThamaratYanica.Zaydiyya0000274-ara1,3
