Topic,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,Count,msCount,uriCount
-1,ان,حدثنا,في,قال,ابو,لا,كان,بن,علي,عن,151744,12625,4019
0,تحقيق,بيروت,الطبعه,دار,مكتبه,العلميه,طبعه,القاهره,مطبعه,الكتب,2344,1174,453
1,المليحي,النعيمي,الواحد,نا,انا,اسماعيل,اخبرنا,صحيح,اليمان,احمد,1683,1183,83
2,طريق,اخرجه,ضعيف,الهيثمي,والبيهقي,رواه,الطبراني,واخرجه,متروك,ورواه,1463,1207,237
3,تاشفين,تلمسان,مراكش,الاندلس,حمو,الموحدين,مرين,الممن,فاس,المغرب,1366,1006,127
4,طالق,يحنث,يقع,الطلاق,واحده,انت,تطلق,حلف,ثلاثا,طلقت,1233,917,78
5,العراق,الكوفه,خراسان,القسري,الوليد,الحجاج,مروان,فكتب,عزل,الثقفي,1177,839,197
6,البقره,الباقون,وو,الاعراف,اليا,الهمزه,هود,الانعام,والكساي,النمل,1022,516,76
7,اي,رحمهما,رحمه,وقالا,عندهما,وبه,القدوري,لان,ولهما,عند,992,877,8
8,يزيد,يحيي,فهرس,ابو,حبيب,يعلي,يونس,يعقوب,الثقفي,بن,974,673,198
9,البحر,الوري,قلبي,تام,وانشدني,وكم,يا,ذا,قصيده,كانما,961,608,247
10,يكني,قرطبه,بلنسيه,اهل,وتوفي,ببلده,القراات,حافظا,ورحل,اصبغ,932,571,82
11,انا,خليل,الحافظ,عاليا,اخبرهم,الدشتي,الحداد,زينب,سماعا,اخبرنا,831,555,107
12,وثنا,وحدثنا,ثنا,حبيب,فاروق,خلاد,شعبه,قالا,الطلحي,رواه,799,640,64
13,قرا,السلطان,الامير,حلب,ناب,اسكندر,شاه,رخ,قرايلك,الامرا,772,622,74
14,عه,وعن,حب,حم,خز,مي,كلاهما,ثنا,طح,الصغاني,757,687,6
15,المقر,الحسن,واخبرنا,اسحاق,الصحيح,يعقوب,اخبرنا,الربيع,حدثنا,مسدد,747,687,52
16,وابا,نيسابور,واربع,بنيسابور,الشحامي,ولادته,مستور,سمع,الاصم,واربعماه,733,558,83
17,وابا,الحصين,وخمسماه,الخالق,وسمع,وابي,سمع,القادر,وحدث,وخمس,667,543,50
18,رسول,صلي,وسلم,النبي,هريره,حدثنا,ثنا,عليه,انس,الله,658,475,224
19,الما,النجاسه,يطهر,ينزح,نجس,الفم,يفسد,نجاسه,مل,مستعملا,651,326,38
20,ثني,نجيح,مجاهد,ورقا,وكيع,السدي,ثنا,قتاده,المثني,التاويل,633,389,26
21,ديوانه,سوره,وشرح,البيت,واللسان,اللسان,وانظر,التذييل,انظر,المفصل,598,559,84
22,للترجمه,مطابقته,هناك,والحديث,مضي,ومضي,اخره,اخرجه,قوله,ظاهره,583,562,39
23,انبانا,مسعده,العتيقي,العقيلي,عدي,حمزه,فانبانا,الوهاب,نا,الدخيل,571,443,17
24,يقال,ويقال,ومنه,وانشد,اي,الشي,الاصمعي,فلان,والجمع,البعير,527,445,124
25,السوسي,واخبرنا,العباس,مزيد,الحافظ,الاوزاعي,الروذباري,الصحيح,اخبرنا,الاصبهاني,493,461,35
26,مسنده,ورواه,خسرو,واخرجه,حنيفه,الاشناني,البلخي,رضي,اخرجه,واله,480,377,39
27,تنعقد,يكبر,التكبير,الخطبه,الماموم,الجمعه,كبر,الاستفتاح,صلاه,تكبيره,451,388,120
28,الاخريين,صلاته,السهو,التحريمه,التشهد,الاوليين,الشفع,تفسد,المقتدي,سجده,441,350,39
29,السلام,بصير,واله,محبوب,فداك,ووهيب,زراره,جعفر,عقيل,القمي,438,368,79
30,الصحيح,واخرجه,ورواه,رواه,البخاري,صحته,متفق,مسلم,اخرجه,كلاهما,437,404,46
31,القواس,شاهين,الدارقطني,الثلاج,ثقه,ويوسف,الجراحي,واحمد,حدث,البرقاني,428,392,39
32,اللهم,انج,وطاتك,اشدد,كسني,مضر,وعياش,نج,والمستضعفين,وسلمه,412,346,191
33,سماعا,انبانا,اجازه,مشافهه,اذنا,وانبانا,خليل,واجازه,قراته,عاليا,406,310,58
34,نحو,حذف,الندا,كقوله,حرف,اعرض,تالله,تفتا,يحذف,الفعل,386,332,138
35,خبيق,اسباط,الحواري,عبدالله,سمعت,يقول,الدنيا,ثنا,ادهم,الثوري,380,298,97
36,فاخرجه,متفق,القعنبي,واخرجه,فوقع,ومسلم,والنساي,اخرجه,بدلا,البخاري,376,290,84
37,النيل,مدينه,الفيوم,وبها,ميلا,قبر,مقياسا,اميال,وخليج,نهر,343,266,104
38,الريا,السلام,اخوته,تعالي,ليوسف,سبحانه,والسلام,نبينا,السجن,ريا,339,315,160
39,مجهول,ضعفه,منكر,متروك,حديثه,ضعيف,بثقه,يروي,حاتم,كذاب,335,268,51
40,صلاح,الناصر,الملك,العادل,الاشرف,غازي,السلطان,المسعود,ايوب,المنصور,328,286,81
41,الاقاله,الرهن,المبيع,التحالف,القبض,الثمن,العقد,فسخا,الفسخ,البيع,326,307,26
42,الفربري,حمويه,الداودي,مطر,السرخسي,الكشميهني,مكي,السجزي,الاكوع,المظفر,321,193,141
43,القاهري,ويعرف,وثمانماه,الجمال,الماضي,ونشا,الشهاب,الزين,الاتي,وايانا,318,298,34
44,الاعرج,الزناد,هريره,جبار,فضل,ادرك,سمي,السمان,باب,شهاب,317,301,31
45,بسماعه,وبسماع,باجازته,بسماع,سماعا,اجازه,بسماعهما,ارويه,وارويه,كذلك,314,222,70
46,بيروت,تحقيق,ديوان,دار,صادر,الطبعه,مكتبه,العلميه,الكتب,لبنان,307,274,156
47,فتح,الوهاب,عيسي,ثنا,الحجاج,مسلم,حدثناه,نامي,احمد,نا,300,270,9
48,ثنا,خلف,همام,محمش,الرزاق,معمر,انا,هريره,الزيادي,قال,298,279,15
